trip_id,arrival_time,departure_time,stop_id,stop_sequence
F_TRIP1,06:00:00,06:00:00,F_CEN,1
F_TRIP1,06:03:00,06:03:00,F_N1,2
F_TRIP1,06:06:00,06:06:00,F_N2,3
F_TRIP1,06:09:00,06:09:00,F_N3,4
F_TRIP1,06:12:00,06:12:00,F_N4,5
F_TRIP1,06:15:00,06:15:00,F_N5,6
F_TRIP1,06:18:00,06:18:00,F_N6,7
F_TRIP1,06:21:00,06:21:00,F_N6_1,8
F_TRIP1,06:24:00,06:24:00,F_N7,9
F_TRIP1,06:27:00,06:27:00,F_N8,10
F_TRIP1,06:30:00,06:30:00,F_N9,11
F_TRIP2,06:00:00,06:00:00,F_N9,1
F_TRIP2,06:03:00,06:03:00,F_N8,2
F_TRIP2,06:06:00,06:06:00,F_N7,3
F_TRIP2,06:09:00,06:09:00,F_N6_1,4
F_TRIP2,06:12:00,06:12:00,F_N6,5
F_TRIP2,06:15:00,06:15:00,F_N5,6
F_TRIP2,06:18:00,06:18:00,F_N4,7
F_TRIP2,06:21:00,06:21:00,F_N3,8
F_TRIP2,06:24:00,06:24:00,F_N2,9
F_TRIP2,06:27:00,06:27:00,F_N1,10
F_TRIP2,06:30:00,06:30:00,F_CEN,11
F_CPX_O_TRIP1,06:00:00,06:00:00,F_N30,1
F_CPX_O_TRIP1,06:03:00,06:03:00,F_N29,2
F_CPX_O_TRIP1,06:06:00,06:06:00,F_N28,3
F_CPX_O_TRIP1,06:09:00,06:09:00,F_N26,4
F_CPX_O_TRIP1,06:12:00,06:12:00,F_N24,5
F_CPX_O_TRIP1,06:15:00,06:15:00,F_N22,6
F_CPX_O_TRIP1,06:18:00,06:18:00,F_N21,7
F_CPX_O_TRIP1,06:21:00,06:21:00,F_N20,8
F_CPX_O_TRIP1,06:24:00,06:24:00,F_N19,9
F_CPX_O_TRIP1,06:27:00,06:27:00,F_N18,10
F_CPX_O_TRIP1,06:30:00,06:30:00,F_N16,11
F_CPX_O_TRIP1,06:33:00,06:33:00,F_N15,12
F_CPX_O_TRIP1,06:36:00,06:36:00,F_N14,13
F_CPX_O_TRIP1,06:39:00,06:39:00,F_N13,14
F_CPX_O_TRIP1,06:42:00,06:42:00,F_N12,15
F_CPX_O_TRIP1,06:45:00,06:45:00,F_N11,16
F_CPX_O_TRIP1,06:48:00,06:48:00,F_N10,17
F_CPX_O_TRIP1,06:51:00,06:51:00,F_N9,18
F_CPX_O_TRIP1,06:54:00,06:54:00,F_N8,19
F_CPX_O_TRIP1,06:57:00,06:57:00,F_N7,20
F_CPX_O_TRIP1,07:00:00,07:00:00,F_N6,21
F_CPX_O_TRIP1,07:03:00,07:03:00,F_N5,22
F_CPX_O_TRIP1,07:06:00,07:06:00,F_N4,23
F_CPX_O_TRIP1,07:09:00,07:09:00,F_N3,24
F_CPX_O_TRIP1,07:12:00,07:12:00,F_N1,25
F_CPX_O_TRIP1,07:15:00,07:15:00,F_CEN,26
F_CPX_O_TRIP1,07:18:00,07:18:00,F_S1,27
F_CPX_O_TRIP1,07:21:00,07:21:00,F_S2,28
F_CPX_O_TRIP1,07:24:00,07:24:00,F_S3,29
F_CPX_O_TRIP2,07:00:00,07:00:00,F_S3,1
F_CPX_O_TRIP2,07:03:00,07:03:00,F_S2,2
F_CPX_O_TRIP2,07:06:00,07:06:00,F_S1,3
F_CPX_O_TRIP2,07:09:00,07:09:00,F_CEN,4
F_CPX_O_TRIP2,07:12:00,07:12:00,F_N1,5
F_CPX_O_TRIP2,07:15:00,07:15:00,F_N3,6
F_CPX_O_TRIP2,07:18:00,07:18:00,F_N4,7
F_CPX_O_TRIP2,07:21:00,07:21:00,F_N5,8
F_CPX_O_TRIP2,07:24:00,07:24:00,F_N6,9
F_CPX_O_TRIP2,07:27:00,07:27:00,F_N7,10
F_CPX_O_TRIP2,07:30:00,07:30:00,F_N8,11
F_CPX_O_TRIP2,07:33:00,07:33:00,F_N9,12
F_CPX_O_TRIP2,07:36:00,07:36:00,F_N10,13
F_CPX_O_TRIP2,07:39:00,07:39:00,F_N11,14
F_CPX_O_TRIP2,07:42:00,07:42:00,F_N12,15
F_CPX_O_TRIP2,07:45:00,07:45:00,F_N13,16
F_CPX_O_TRIP2,07:48:00,07:48:00,F_N14,17
F_CPX_O_TRIP2,07:51:00,07:51:00,F_N15,18
F_CPX_O_TRIP2,07:54:00,07:54:00,F_N16,19
F_CPX_O_TRIP2,07:57:00,07:57:00,F_N18,20
F_CPX_O_TRIP2,08:00:00,08:00:00,F_N19,21
F_CPX_O_TRIP2,08:03:00,08:03:00,F_N20,22
F_CPX_O_TRIP2,08:06:00,08:06:00,F_N21,23
F_CPX_O_TRIP2,08:09:00,08:09:00,F_N22,24
F_CPX_O_TRIP2,08:12:00,08:12:00,F_N24,25
F_CPX_O_TRIP2,08:15:00,08:15:00,F_N26,26
F_CPX_O_TRIP2,08:18:00,08:18:00,F_N28,27
F_CPX_O_TRIP2,08:21:00,08:21:00,F_N29,28
F_CPX_O_TRIP2,08:24:00,08:24:00,F_N30,29
F_CPX_Y_TRIP1,06:00:00,06:00:00,F_N30,1
F_CPX_Y_TRIP1,06:04:00,06:04:00,F_N24,2
F_CPX_Y_TRIP1,06:08:00,06:08:00,F_N22,3
F_CPX_Y_TRIP1,06:12:00,06:12:00,F_N21,4
F_CPX_Y_TRIP1,06:16:00,06:16:00,F_N15,5
